stage;date;team_a;team_b;goals_a;goals_b;penalties_a;penalties_b
Group A;2014.06.12;Brazil;Croatia;3;1
Group A;2014.06.13;Mexico;Cameroon;1;0
Group A;2014.06.17;Brazil;Mexico;0;0
Group A;2014.06.18;Cameroon;Croatia;0;4
Group A;2014.06.23;Cameroon;Brazil;1;4
Group A;2014.06.23;Croatia;Mexico;1;3
Group B;2014.06.13;Spain;Netherlands;1;5
Group B;2014.06.13;Chile;Australia;3;1
Group B;2014.06.18;Australia;Netherlands;2;3
Group B;2014.06.18;Spain;Chile;0;2
Group B;2014.06.23;Australia;Spain;0;3
Group B;2014.06.23;Netherlands;Chile;2;0
Group C;2014.06.14;Colombia;Greece;3;0
Group C;2014.06.14;Ivory Coast;Japan;2;1
Group C;2014.06.19;Colombia;Ivory Coast;2;1
Group C;2014.06.19;Japan;Greece;0;0
Group C;2014.06.24;Japan;Colombia;1;4
Group C;2014.06.24;Greece;Ivory Coast;2;1
Group D;2014.06.14;Uruguay;Costa Rica;1;3
Group D;2014.06.14;England;Italy;1;2
Group D;2014.06.19;Uruguay;England;2;1
Group D;2014.06.20;Italy;Costa Rica;0;1
Group D;2014.06.24;Italy;Uruguay;0;1
Group D;2014.06.24;Costa Rica;England;0;0
Group E;2014.06.15;Switzerland;Ecuador;2;1
Group E;2014.06.15;France;Honduras;3;0
Group E;2014.06.20;Switzerland;France;2;5
Group E;2014.06.20;Honduras;Ecuador;1;2
Group E;2014.06.25;Honduras;Switzerland;0;3
Group E;2014.06.25;Ecuador;France;0;0
Group F;2014.06.15;Argentina;Bosnia and Herzegovina;2;1
Group F;2014.06.16;Iran;Nigeria;0;0
Group F;2014.06.21;Argentina;Iran;1;0
Group F;2014.06.21;Nigeria;Bosnia and Herzegovina;1;0
Group F;2014.06.25;Nigeria;Argentina;2;3
Group F;2014.06.25;Bosnia and Herzegovina;Iran;3;1
Group G;2014.06.16;Germany;Portugal;4;0
Group G;2014.06.16;Ghana;United States;1;2
Group G;2014.06.21;Germany;Ghana;2;2
Group G;2014.06.22;United States;Portugal;2;2
Group G;2014.06.26;United States;Germany;0;1
Group G;2014.06.26;Portugal;Ghana;2;1
Group H;2014.06.17;Belgium;Algeria;2;1
Group H;2014.06.17;Russia;South Korea;1;1
Group H;2014.06.22;Belgium;Russia;1;0
Group H;2014.06.22;South Korea;Algeria;2;4
Group H;2014.06.26;South Korea;Belgium;0;1
Group H;2014.06.26;Algeria;Russia;1;1
Round of 16;2014.06.28;Brazil;Chile;1;1;3;2
Round of 16;2014.06.28;Colombia;Uruguay;2;0
Round of 16;2014.06.29;Netherlands;Mexico;2;1
Round of 16;2014.06.29;Costa Rica;Greece;1;1;5;3
Round of 16;2014.06.30;France;Nigeria;2;0
Round of 16;2014.06.30;Germany;Algeria;2;1
Round of 16;2014.07.01;Argentina;Switzerland;1;0
Round of 16;2014.07.01;Belgium;United States;2;1
Quarter-finals;2014.07.04;France;Germany;0;1
Quarter-finals;2014.07.04;Brazil;Colombia;2;1
Quarter-finals;2014.07.05;Argentina;Belgium;1;0
Quarter-finals;2014.07.05;Netherlands;Costa Rica;0;0;4;3
Semi-finals;2014.07.08;Brazil;Germany;1;7
Semi-finals;2014.07.09;Netherlands;Argentina;0;0;2;4
Third place play-off;2014.07.12;Brazil;Netherlands;0;3
Final;2014.07.13;Germany;Argentina;1;0
